Date,Competition,Sex,Round,Team,Where,Result,Home Team,Home Score,Away Team,Away Score,Venue,Time,Referee,Fixture Src,Fixture ID,Calendar Sync,Calendar Event ID
Mon 31 Mar 25,Minor Div 3 League,Girls,Round 1,Minor Girls,HOME,LOSS,Grange Naomh Colmcille CLG,2-10,Shamrock Gaels,6-9,Grange St Colmcille's,6:45 PM,Leo Dougan,url,GFAS-25-024B,RESULT,jkrhk4igrk3qcfbfteoqclvq5c
Thu 03 Apr 25,U16 Div 5 League,Girls,Round 1,U16 Girls,HOME,WIN,Grange Naomh Colmcille CLG,11-7,Naomh Peadar,4-6,Grange St Colmcille's,6:45 PM,Ronan Gildernew,url,GFAS-25-9339,RESULT,auqq9chl1shoeuvbkon4m598j0
Sat 05 Apr 25,Senior Division 2 League,Ladies,Round 1,Senior Ladies,AWAY,DRAW,Naomh Peadar,2-7,Grange Naomh Colmcille CLG,3-4,St Peter's Lurgan,6:45 PM,Pat Mc Dade,url,GFAS-25-3A57,RESULT,2i2tkgrucb297g6avqrmnicsgk
Sun 06 Apr 25,2025 Intermediate Football League Division 2B,Men,Round 1,Senior Men,HOME,WIN,Grange Naomh Colmcille CLG,1-15,Clann Eireann,0-11,Grange St Colmcille's,2:00 PM,Oisin Mc Kee,url,GFAS-25-7FCC,RESULT,6f0rv0g8bkqc6hhs5aiuuq2gu8
Mon 07 Apr 25,Minor Div 3 League,Girls,Round 2,Minor Girls,AWAY,LOSS,CLG Chú Chulainn An Mullach Bán,5-16,Grange Naomh Colmcille CLG,2-6,Mullaghbawn,6:45 PM,Damian Shields,url,GFAS-25-F1BE,RESULT,v8ioj6po64aqmga22mbvdru750
Mon 07 Apr 25,U-18 Division 2 League,Boys,Round 1,Minor Boys,AWAY,WIN,CLG Chú Chulainn An Mullach Bán,1-8,Naomh Colum,4-17,Mullaghbawn,6:45 PM,Oliver Hearty,url,GFAS-25-3E6D,RESULT,7j24hagtpals6meq5c10fl51fo
Tue 08 Apr 25,U-14 Division 2 Football League,Boys,Round 1,U14 Boys,AWAY,LOSS,Wolfe Tones,13-6,Naomh Colum,0-6,Wolfe Tones Derrymacash,6:45 PM,Denise Mc Donald,url,GFAS-25-4F6C,RESULT,bn58nrp4ti30jmnvjtdou55m7k
Thu 10 Apr 25,U16 Div 5 League,Girls,Round 2,U16 Girls,AWAY,WIN,An Port Mór,2-2,Grange Naomh Colmcille CLG,7-19,An Port Mor,6:45 PM,Ronan Gildernew,url,GFAS-25-9C96,RESULT,6ettr8qen34er06nnkb79gn138
Sun 13 Apr 25,U14 Div 2 League,Girls,Round 1,U14 Girls,HOME,LOSS,Grange Naomh Colmcille CLG,4-0,Wolfe Tones,3-11,Grange St Colmcille's,11:00 AM,Conall Mc Ginnity,url,GFAS-25-19F9,RESULT,3mljuo6jkp1godmt4rmvjdnb4g
Sun 13 Apr 25,2025 Intermediate Football League Division 2B,Men,Round 2,Senior Men,AWAY,WIN,Na Piarsaigh Eanach Mor,0-10,Grange Naomh Colmcille CLG,2-9,Annaghmore,2:00 PM,Conall Mc Ginnity,url,GFAS-25-A8FE,RESULT,fgbb6ob7cb1kp8ur3otmpc9jc0
Mon 14 Apr 25,Minor Div 3 League,Girls,Round 3,Minor Girls,HOME,LOSS,Grange Naomh Colmcille CLG,2-5,Naomh Labhaoise,4-9,Grange St Colmcille's,6:45 PM,Eugene Hughes,url,GFAS-25-4B1F,RESULT,1fse2ffoisqi1nt19p67aoen68
Mon 14 Apr 25,U-18 Division 2 League,Boys,Round 2,Minor Boys,HOME,WIN,Naomh Colum,4-22,An Port Mór,1-9,Maghery,6:45 PM,Denise Mc Donald,url,GFAS-25-3EE2,RESULT,l9b55jom8comjlqhu5tv8dso4s
Tue 15 Apr 25,U-14 Division 2 Football League,Boys,Round 2,U14 Boys,HOME,---,Naomh Colum,---,Carrickcruppen,---,Grange,6:45 PM,Shane Mc Keown,url,GFAS-25-9281,ADDED,ok5al7031aqechgkshjfps0io0
